input_file:  ../data/quantile_df.csv
Getting score for:  s2-dpca-85m 0.38329419186036867 32
Getting score for:  be-30y-85m-avg-GREEN.filled.lzw.nodata 0.3836810426426578 32
Getting score for:  be-30y-85m-avg-ND-RED-BLUE.filled.lzw.nodata 0.36693170834615435 32
Getting score for:  LATITUDE_GRID1_clip 0.374869090801724 32
Getting score for:  relief_mrvbf_3s_mosaic 0.4126929976465657 32
Getting score for:  Dose_2016 0.38155005093917527 32
Getting score for:  saga_wetSM_85_resampled 0.37566315478944 32
Getting score for:  be-30y-85m-avg-SWIR1.filled.lzw.nodata 0.34552513704681637 32
Getting score for:  be-30y-85m-avg_BLUE+SWIR2 0.3372290309726273 32
Results of  10  iteration: 0.3168221226911388 be-30y-85m-avg-ND-SWIR1-SWIR2.filled.lzw.nodata
Staring experiment for:  32
Getting score for:  relief_elev_focalrange300m_3s 0.39007387980196223 31
Getting score for:  Potassium_2016 0.3335691870558557 31
Getting score for:  Clim_Prescott_LindaGregory 0.28798626253327525 31
Getting score for:  be-30y-85m-avg-ND-SWIR1-NIR.filled.lzw.nodata 0.361338313129591 31
Getting score for:  be-l8-all-85m-avg-NIR.filled.lzw.nodata 0.3652719056471345 31
Getting score for:  be-l8-all-85m-avg-BLUE.filled.lzw.nodata 0.35792121934336607 31
Getting score for:  clim_EPA_albers 0.37175866161051535 31
Getting score for:  relief_elev_focalrange1000m_3s 0.3422918989515408 31
Getting score for:  Rad2016U_Th 0.38197414733088586 31
Getting score for:  be-30y-85m-avg-SWIR2.filled.lzw.nodata 0.3464164485580504 31
Getting score for:  tpi_300 0.3824077036347592 31
Getting score for:  clim_RSM_albers 0.3449397920577003 31
